Model,Price,Date,Link
2012 Honda Civic LX,7995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-lx/1516787603
LX|CVT|Bluetooth|Backup cam|Heated Seats,16489.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/lx-cvt-bluetooth-backup-cam-heated-seats/1516062431
2020 Honda Civic Sedan LX,21868.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-honda-civic-sedan-lx/1524746564
2016 Honda HR-V EX-L w/Navi | BACKUP CAMERA | SUNROOF | LEATHER,19855.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-hr-v-ex-l-w-navi-backup-camera-sunroof-leather/1525540320
2019 Honda Civic Sport CVT,23000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2019-honda-civic-sport-cvt/1535088800
Used 2005 Honda Civic for Sale,3800.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/used-2005-honda-civic-for-sale/1537534054
2006 Honda Civic,1400.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2006-honda-civic/1537558247
2012 Honda Civic Sedan LX at,8995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-sedan-lx-at/1537551510
hond civic 4 door,1500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/hond-civic-4-door/1537544998
2018 Honda Civic Sedan Touring CVT,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-civic-sedan-touring-cvt/1537540050
LOOKING TO TRADE MY MINT HONDA CIVIC SI FOR A SLED ATV TRUCK SUV,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/looking-to-trade-my-mint-honda-civic-si-for-a-sled-atv-truck-suv/1537520734
2010 honda civic,1200.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2010-honda-civic/1537518051
"2013 Honda Civic lx 48,000km",11250.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2013-honda-civic-lx-48-000km/1537509173
